"call_id","date_made","call_text","domain","tags","conviction","time_horizon","status","resolution_date","resolution_note","source_url","source_title","related_calls","pre_consensus_score","confidence_band"
"2022-001","2022-02-24","Written to clients at the very start of Russia's invasion: Russia's best possible outcome would be ending up with 2–3 provinces in the South-East of Ukraine, not the conquest or regime change they sought. Confirmed three years later when Russia held Donetsk, Luhansk, Zaporizhzhia and parts of Kherson — precisely the South-Eastern fringe — while negotiations began from a position of exhaustion on both sides.","Geopolitics","Ukraine|Russia|war|2022","","within 12 months (from Feb 2022)","Resolved-Hit","","Russia held only 4 south-eastern provinces; negotiations began from exhaustion on both sides — consistent with the call.","https://www.linkedin.com/pulse/parallax-conjecture-christophe-van-eysendyck-yqnre/","The Parallax Conjecture (referencing 2022 client note)","","TRUE",""
"2022-002","2022-08-30","Germany was paying Russia €200 million per day for gas and oil even while trying to support Ukraine — not by choice, but because Russian contracts were simply cheaper than any available alternative. This structural energy dependency was a strategic trap that would take years and enormous cost to escape, and would constrain Germany's foreign policy throughout the conflict.","Macro","Germany|Russia|energy|gas|geopolitics","","multi-year (2022–2024)","Resolved-Hit","","Germany paid Russia €200M/day through 2022; took years and massive cost to reduce dependency.","https://www.linkedin.com/pulse/dogs-playing-poker-christophe-van-eysendyck/","Dogs Playing Poker","","TRUE",""
"2022-003","2022-08-30","Russia had failed every stated war goal, created a global food-supply shock, couldn't depose the president of a corrupt second-tier state, and was fighting the last war with its grandparents' equipment. Putin was desperately seeking a face-saving exit. Russia could not come out on top — its best outcome was a negotiated settlement before complete military and economic exhaustion.","Geopolitics","Russia|Ukraine|war|stalemate","","within 18 months","Resolved-Hit","","No decisive Russian victory after 3 years; best outcome was negotiated settlement from exhaustion.","https://www.linkedin.com/pulse/dogs-playing-poker-christophe-van-eysendyck/","Dogs Playing Poker","","TRUE",""
"2022-004","2022-09-30","Truss and Kwarteng's £45 billion unfunded tax-cut mini-budget was described as madness — inviting inflation to new record highs, risking irreparable economic damage, and ignoring every warning from the IMF, senior Tories, and the Bank of England. Sterling would fall further, the BoE would be forced into emergency intervention, and the political consequences would be terminal. Truss resigned 21 days later.","Politics-EU","UK|Truss|fiscal|bonds|sterling","","within weeks","Resolved-Hit","","Truss resigned 21 days after the mini-budget; sterling fell, BoE intervened.","https://www.linkedin.com/pulse/ice-skating-uphill-other-ideas-christophe-van-eysendyck/","Ice-Skating Uphill and Other Ideas","","TRUE",""
"2022-005","2022-09-30","Peak inflation was imminent in Q3 2022, with two or three additional rate hikes likely before the Fed and ECB cycle ended. Markets had priced in a brief but substantial recession. For cash holders, deploying into markets would beat losing to inflation. Both the peak inflation call and the rate cycle endpoint proved broadly correct.","Macro","inflation|rates|Fed|ECB|cycle","","by end-2023","Resolved-Hit","","US inflation peaked Jun 2022; Fed terminal rate ~5.25% vs expectations of 6%+; cycle ended May 2023.","https://www.linkedin.com/pulse/ice-skating-uphill-other-ideas-christophe-van-eysendyck/","Ice-Skating Uphill and Other Ideas","","TRUE",""
"2022-006","2022-12-23","The De Croo coalition — a haphazard assembly of seven parties scraping by on a thin majority — would probably collapse at some point in 2023, forced by the EU to finally curb its runaway spending. A wrong call: the government limped on until the scheduled June 2024 elections, propped up more by the absence of a viable alternative than by any coherent governing purpose.","Politics-EU","Belgium|politics|coalition","","within 2023","Resolved-Miss","","WRONG: De Croo coalition survived to June 2024 elections, propped up by absence of alternatives.","https://www.linkedin.com/pulse/2022-harder-fall-christophe-van-eysendyck/","2022: The Harder They Fall","","FALSE",""
"2022-007","2022-12-23","Europe's energy crisis would force a reversal of the decades-long anti-nuclear consensus. The brutal reality of needing affordable baseload energy — combined with restarting coal plants as the alternative — would force governments to begin public tenders for Small Modular Reactors and life-extensions for existing nuclear capacity.","Macro","nuclear|energy|SMR|Europe","","3–5 year horizon","Resolved-Hit","","Multiple EU countries reversed nuclear phase-outs (Germany extended life of last plants, France restarted builds, Belgium extended Tihange).","https://www.linkedin.com/pulse/2022-harder-fall-christophe-van-eysendyck/","2022: The Harder They Fall","","TRUE",""
"2022-008","2022-12-23","Given the mountains of debt requiring annual refinancing, it would be unreasonable for rates to climb substantially from late-2022 levels by end of 2023. Both the Fed and ECB would slow and ultimately pause their hiking cycles well before rates reached truly damaging territory for government balance sheets.","Macro","rates|Fed|ECB|debt|fiscal","","by end-2023","Resolved-Hit","","Fed paused at 5.25–5.50% (not 6%+); ECB at 4.5%. Neither went substantially beyond late-2022 levels.","https://www.linkedin.com/pulse/2022-harder-fall-christophe-van-eysendyck/","2022: The Harder They Fall","","TRUE",""
"2023-001","2023-11-23","The Hamas attack and Israel's disproportionate response would completely derail the Saudi-Israel normalization process that had been the biggest strategic prize of recent Middle East diplomacy. The primary beneficiaries: Iran and Russia, who needed the deal to fail. The conflict would also entrench far-right Israeli governance and make any two-state resolution structurally impossible.","Geopolitics","Gaza|Saudi Arabia|Israel|Iran|normalization|October7","","by end-2024","Resolved-Hit","","Saudi-Israel normalization collapsed after October 7; Iran gained influence; Hamas retained control of Gaza.","https://www.linkedin.com/pulse/welcome-new-dark-ages-christophe-van-eysendyck-zyrie/","Welcome to the New Dark Ages","","TRUE",""
"2023-002","2023-11-23","Russia lacked the bureaucratic depth and economic capacity to reconstitute empire. The invasion would not produce a decisive Russian victory, nor a Ukrainian one — it would grind into a costly stalemate where money and weapons from the West kept Ukraine afloat while Russia bled out its military capacity.","Geopolitics","Ukraine|Russia|stalemate|war","","through 2024","Resolved-Hit","","Stalemate held through 2024; Riyadh talks only began in late 2025.","https://www.linkedin.com/pulse/welcome-new-dark-ages-christophe-van-eysendyck-zyrie/","Welcome to the New Dark Ages","","FALSE",""
"2023-003","2023-11-23","Iran was approaching the status of a de facto tenth nuclear power. With nine nations already possessing nuclear weapons across five factions, Tehran's enrichment program was on a trajectory that would eventually put it in the same category — with enormous destabilising consequences for the Middle East.","Geopolitics","Iran|nuclear|Middle East|proliferation","","5–10 year horizon","Open","","","https://www.linkedin.com/pulse/welcome-new-dark-ages-christophe-van-eysendyck-zyrie/","Welcome to the New Dark Ages","","FALSE",""
